Topología de Red;Número de Nodos;Tiempo de Saturación
Lineal;4;8
Lineal;4;4
Lineal;4;3
Lineal;4;3
Lineal;4;7
Lineal;4;1
Lineal;4;3
Lineal;4;13
Lineal;4;18
Lineal;4;4
Lineal;4;6
Lineal;4;13
Lineal;4;6
Lineal;4;209
Lineal;4;9
Lineal;4;17
Lineal;4;4
Lineal;4;4
Lineal;4;8
Lineal;4;3
Lineal;4;15
Lineal;4;9
Lineal;4;2
Lineal;4;5
Lineal;4;1
Lineal;4;7
Lineal;4;5370
Lineal;4;4
Lineal;4;3
Lineal;4;3
Lineal;4;1
Lineal;4;5
Lineal;4;8
Lineal;4;13
Lineal;4;3
Lineal;4;1
Lineal;4;9
Lineal;4;3
Lineal;4;249
Lineal;4;5
Lineal;4;3
Lineal;4;5
Lineal;4;8
Lineal;4;19
Lineal;4;2
Lineal;4;11
Lineal;4;16
Lineal;4;2
Lineal;4;22902
Lineal;4;19
Lineal;4;8
Lineal;4;3
Lineal;4;4
Lineal;4;9
Lineal;4;3
Lineal;4;11
Lineal;4;9
Lineal;4;4
Lineal;4;28
Lineal;4;1861
Lineal;4;5
Lineal;4;7
Lineal;4;40
Lineal;4;13
Lineal;4;3
Lineal;4;3
Lineal;4;3
Lineal;4;12
Lineal;4;7
Lineal;4;8
Lineal;4;2
Lineal;4;13
Lineal;4;20
Lineal;4;6
Lineal;4;37
Lineal;4;12
Lineal;4;3
Lineal;4;8
Lineal;4;1
Lineal;4;6
Lineal;4;6
Lineal;4;126
Lineal;4;23
Lineal;4;4
Lineal;4;2
Lineal;4;2
Lineal;4;5
Lineal;4;15
Lineal;4;3
Lineal;4;2
Lineal;4;10
Lineal;4;3
Lineal;4;3
Lineal;4;8
Lineal;4;4
Lineal;4;1
Lineal;4;4
Lineal;4;27
Lineal;4;86
Lineal;4;7
Lineal;4;15
Lineal;4;3
Lineal;4;3
Lineal;4;4
Lineal;4;6
Lineal;4;15
Lineal;4;3
Lineal;4;3
Lineal;4;5
Lineal;4;21
Lineal;4;8
Lineal;4;2
Lineal;4;2
Lineal;4;5
Lineal;4;79
Lineal;4;12
Lineal;4;6
Lineal;4;3
Lineal;4;6
Lineal;4;4
Lineal;4;4
Lineal;4;78
Lineal;4;5
Lineal;4;6
Lineal;4;4
Lineal;4;5
Lineal;4;8
Lineal;4;3
Lineal;4;4
Lineal;4;1
Lineal;4;12
Lineal;4;8
Lineal;4;2
Lineal;4;11
Lineal;4;6
Lineal;4;5
Lineal;4;7
Lineal;4;4
Lineal;4;10
Lineal;4;7
Lineal;4;6
Lineal;4;7
Lineal;4;109
Lineal;4;27
Lineal;4;274
Lineal;4;12
Lineal;4;12
Lineal;4;4
Lineal;4;4
Lineal;4;9
Lineal;4;9
Lineal;4;6
Lineal;4;22
Lineal;4;3
Lineal;4;16
Lineal;4;4
Lineal;4;4
Lineal;4;6
Lineal;4;5
Lineal;4;2
Lineal;4;4
Lineal;4;6
Lineal;4;17
Lineal;4;3
Lineal;4;3
Lineal;4;6
Lineal;4;3
Lineal;4;4
Lineal;4;1
Lineal;4;1
Lineal;4;23
Lineal;4;1
Lineal;4;2
Lineal;4;19
Lineal;4;3
Lineal;4;5
Lineal;4;13
Lineal;4;47
Lineal;4;16
Lineal;4;311
Lineal;4;6
Lineal;4;8
Lineal;4;11
Lineal;4;3
Lineal;4;3
Lineal;4;21
Lineal;4;15
Lineal;4;2
Lineal;4;3
Lineal;4;6
Lineal;4;3
Lineal;4;3
Lineal;4;4
Lineal;4;19
Lineal;4;18
Lineal;4;11
Lineal;4;2
Lineal;4;80
Lineal;4;5
Lineal;4;11
Lineal;4;4
Lineal;4;9
Lineal;4;4
Lineal;4;6
Lineal;4;3
Lineal;4;14
Lineal;4;3
Lineal;4;2
Lineal;4;4
Lineal;4;3
Lineal;4;2
Lineal;4;7
Lineal;4;2
Lineal;4;2
Lineal;4;6
Lineal;4;4
Lineal;4;2
Lineal;4;14
Lineal;4;2
Lineal;4;3
Lineal;4;2
Lineal;4;5
Lineal;4;8
Lineal;4;46
Lineal;4;7
Lineal;4;62
Lineal;4;27
Lineal;4;7
Lineal;4;7
Lineal;4;6
Lineal;4;6
Lineal;4;5
